code,lat,long
JPN,35.6897,139.6922
IDN,-6.1750,106.8275
PHL,14.5958,120.9772
KOR,37.5600,126.9900
MEX,19.4333,-99.1333
EGY,30.0444,31.2358
BGD,23.7639,90.3889
CHN,39.9067,116.3975
THA,13.7525,100.4942
RUS,55.7558,37.6172
ARG,-34.6033,-58.3817
IRN,35.6892,51.3889
COD,-4.3219,15.3119
GBR,51.5072,-0.1275
FRA,48.8567,2.3522
PER,-12.0600,-77.0375
AGO,-8.8383,13.2344
MYS,3.1478,101.6953
VNM,21.0000,105.8500
COL,4.7111,-74.0722
SDN,15.6000,32.5000
HKG,22.3000,114.2000
SAU,24.6333,46.7167
CHL,-33.4372,-70.6506
ESP,40.4169,-3.7033
IRQ,33.3153,44.3661
SGP,1.3000,103.8000
KEN,-1.2864,36.8172
TUR,39.9300,32.8500
MMR,16.7950,96.1600
USA,38.9047,-77.0163
CIV,5.3167,-4.0333
DEU,52.5200,13.4050
ZAF,-33.9253,18.4239
AFG,34.5253,69.1783
MLI,12.6392,-8.0028
JOR,31.9497,35.9328
NGA,9.0667,7.4833
DZA,36.7539,3.0589
GRC,37.9842,23.7281
ETH,9.0300,38.7400
GTM,14.6133,-90.5353
KWT,29.3697,47.9783
HUN,47.4925,19.0514
YEM,15.3483,44.2064
UZB,41.3111,69.2797
UKR,50.4500,30.5233
BOL,-16.4958,-68.1333
PRK,39.0167,125.7475
BRA,-15.7939,-47.8828
ITA,41.8933,12.4828
SOM,2.0392,45.3419
TWN,25.0375,121.5625
SYR,33.5131,36.2919
ZMB,-15.4167,28.2833
BFA,12.3686,-1.5275
CMR,3.8667,11.5167
LBN,33.8983,35.5057
ROU,44.4325,26.1039
GHA,5.5500,-0.2000
LKA,6.9344,79.8428
AZE,40.3953,49.8822
MDG,-18.9100,47.5250
VEN,10.4806,-66.9036
AUT,48.2083,16.3725
ZWE,-17.8292,31.0522
KHM,11.5694,104.9211
SWE,59.3294,18.0686
CUB,23.1367,-82.3589
BLR,53.9000,27.5667
POL,52.2300,21.0111
PRI,18.3985,-66.0610
ECU,-0.2200,-78.5125
COG,-4.2694,15.2711
URY,-34.8836,-56.1819
HND,14.1058,-87.2047
UGA,0.3136,32.5811
GIN,9.5092,-13.7122
BGR,42.7000,23.3300
CRI,9.9325,-84.0800
RWA,-1.9439,30.0594
PAN,8.9833,-79.5167
ARE,24.4667,54.3667
NLD,52.3728,4.8936
SEN,14.6928,-17.4467
OMN,23.6139,58.5922
MNG,47.9203,106.9172
DNK,55.6761,12.5683
FIN,60.1708,24.9375
CZE,50.0875,14.4214
IRL,53.3500,-6.2603
BEL,50.8467,4.3525
SRB,44.8200,20.4600
QAT,25.2867,51.5333
LBY,32.8872,13.1914
MMR,19.7475,96.1150
BDI,-3.3833,29.3667
MOZ,-25.9667,32.5833
DOM,18.4667,-69.9500
KGZ,42.8747,74.6122
GEO,41.7225,44.7925
TCD,12.1100,15.0500
KAZ,51.1472,71.4222
MRT,18.0858,-15.9785
ARM,40.1814,44.5144
CAN,45.4247,-75.6950
NOR,59.9133,10.7389
NIC,12.1364,-86.2514
TKM,37.9375,58.3800
NER,13.5150,2.1175
LBR,6.3133,-10.8014
PAK,33.6931,73.0639
MWI,-13.9833,33.7833
HTI,18.5333,-72.3333
ERI,15.3228,38.9250
SLE,8.4844,-13.2344
LAO,17.9800,102.6300
ISR,31.7789,35.2256
LVA,56.9489,24.1064
CAF,4.3733,18.5628
TJK,38.5367,68.7800
NPL,27.7100,85.3200
GAB,0.3903,9.4542
HRV,45.8131,15.9775
ZAF,-25.7461,28.1881
LTU,54.6872,25.2800
MDA,47.0228,28.8353
PNG,-9.4789,147.1494
BEN,6.3667,2.4333
BHR,26.2250,50.5775
EST,59.4372,24.7453
DJI,11.5883,43.1450
TUN,36.8064,10.1817
XGZ,31.5069,34.4560
JAM,17.9714,-76.7931
MAR,34.0209,-6.8416
PRT,38.7253,-9.1500
NLD,52.0800,4.3100
MKD,41.9961,21.4317
GNB,11.8500,-15.5667
MLT,35.8983,14.5125
PRY,-25.3000,-57.6333
SVK,48.1439,17.1097
SSD,4.8500,31.6000
NAM,-22.5700,17.0836
BIH,43.8564,18.4131
ALB,41.3289,19.8178
GMB,13.4531,-16.5775
AUS,-35.2931,149.1269
LSO,-29.3100,27.4800
CYP,35.1725,33.3650
SLV,13.6989,-89.1914
REU,-20.8789,55.4481
BOL,-19.0475,-65.2600
GNQ,3.7456,8.7744
SVN,46.0514,14.5061
BHS,25.0781,-77.3386
ZAF,-29.1167,26.2167
MTQ,14.6000,-61.0667
IND,28.6139,77.2089
BWA,-24.6581,25.9122
SUR,5.8522,-55.2039
TLS,-8.5536,125.5783
NZL,-41.2889,174.7772
GUY,6.8058,-58.1508
XKS,42.6633,21.1622
FJI,-18.1416,178.4419
NCL,-22.2758,166.4580
MNE,42.4414,19.2628
CUW,12.1080,-68.9350
MUS,-20.1644,57.5042
ISL,64.1467,-21.9400
BDI,-3.4283,29.9250
CHE,46.9481,7.4475
BEN,6.4972,2.6050
MDV,4.1753,73.5089
LUX,49.6117,6.1319
PYF,-17.5334,-149.5667
LKA,6.9108,79.8878
BTN,27.4722,89.6361
BRB,13.0975,-59.6167
SLB,-9.4319,159.9556
TTO,10.6667,-61.5167
MYT,-12.7806,45.2278
LCA,14.0167,-60.9833
MYS,2.9300,101.6900
STP,0.3361,6.7306
CPV,14.9180,-23.5090
GUF,4.9330,-52.3300
SWZ,-26.3167,31.1333
BRN,4.8903,114.9422
VUT,-17.7333,168.3167
TZA,-6.1731,35.7419
WSM,-13.8333,-171.7500
CIV,6.8161,-5.2742
MCO,43.7333,7.4167
ABW,12.5186,-70.0358
